,Declaration Date,State,County,Start Date,End Date,Close Date,Year
31130,01/11/2006,TX,Kinney County,11/27/2005,05/14/2006,10/14/2015,2006
31131,01/11/2006,TX,Kleberg County,11/27/2005,05/14/2006,10/14/2015,2006
31132,01/11/2006,TX,Knox County,11/27/2005,05/14/2006,10/14/2015,2006
31133,01/11/2006,TX,Lamar County,11/27/2005,05/14/2006,10/14/2015,2006
31134,01/11/2006,TX,Lamb County,11/27/2005,05/14/2006,10/14/2015,2006
31135,01/11/2006,TX,Lampasas County,11/27/2005,05/14/2006,10/14/2015,2006
31136,01/11/2006,TX,La Salle County,11/27/2005,05/14/2006,10/14/2015,2006
31137,01/11/2006,TX,Lavaca County,11/27/2005,05/14/2006,10/14/2015,2006
31138,01/11/2006,TX,Lee County,11/27/2005,05/14/2006,10/14/2015,2006
31139,01/11/2006,TX,Leon County,11/27/2005,05/14/2006,10/14/2015,2006
31140,01/11/2006,TX,Liberty County,11/27/2005,05/14/2006,10/14/2015,2006
31141,01/11/2006,TX,Limestone County,11/27/2005,05/14/2006,10/14/2015,2006
31142,01/11/2006,TX,Lipscomb County,11/27/2005,05/14/2006,10/14/2015,2006
31143,01/11/2006,TX,Live Oak County,11/27/2005,05/14/2006,10/14/2015,2006
31144,01/11/2006,TX,Llano County,11/27/2005,05/14/2006,10/14/2015,2006
31145,01/11/2006,TX,Loving County,11/27/2005,05/14/2006,10/14/2015,2006
31146,01/11/2006,TX,Lubbock County,11/27/2005,05/14/2006,10/14/2015,2006
31147,01/11/2006,TX,Lynn County,11/27/2005,05/14/2006,10/14/2015,2006
31148,01/11/2006,TX,McCulloch County,11/27/2005,05/14/2006,10/14/2015,2006
31149,01/11/2006,TX,McLennan County,11/27/2005,05/14/2006,10/14/2015,2006
31150,01/11/2006,TX,McMullen County,11/27/2005,05/14/2006,10/14/2015,2006
31151,01/11/2006,TX,Madison County,11/27/2005,05/14/2006,10/14/2015,2006
31152,01/11/2006,TX,Marion County,11/27/2005,05/14/2006,10/14/2015,2006
31153,01/11/2006,TX,Martin County,11/27/2005,05/14/2006,10/14/2015,2006
31154,01/11/2006,TX,Mason County,11/27/2005,05/14/2006,10/14/2015,2006
31155,01/11/2006,TX,Matagorda County,11/27/2005,05/14/2006,10/14/2015,2006
31156,01/11/2006,TX,Maverick County,11/27/2005,05/14/2006,10/14/2015,2006
31157,01/11/2006,TX,Medina County,11/27/2005,05/14/2006,10/14/2015,2006
31158,01/11/2006,TX,Menard County,11/27/2005,05/14/2006,10/14/2015,2006
31159,01/11/2006,TX,Midland County,11/27/2005,05/14/2006,10/14/2015,2006
31160,01/11/2006,TX,Milam County,11/27/2005,05/14/2006,10/14/2015,2006
31161,01/11/2006,TX,Mills County,11/27/2005,05/14/2006,10/14/2015,2006
31162,01/11/2006,TX,Mitchell County,11/27/2005,05/14/2006,10/14/2015,2006
31163,01/11/2006,TX,Montague County,11/27/2005,05/14/2006,10/14/2015,2006
31164,01/11/2006,TX,Montgomery County,11/27/2005,05/14/2006,10/14/2015,2006
31165,01/11/2006,TX,Moore County,11/27/2005,05/14/2006,10/14/2015,2006
31166,01/11/2006,TX,Morris County,11/27/2005,05/14/2006,10/14/2015,2006
31167,01/11/2006,TX,Motley County,11/27/2005,05/14/2006,10/14/2015,2006
31168,01/11/2006,TX,Nacogdoches County,11/27/2005,05/14/2006,10/14/2015,2006
31169,01/11/2006,TX,Navarro County,11/27/2005,05/14/2006,10/14/2015,2006
31170,01/11/2006,TX,Newton County,11/27/2005,05/14/2006,10/14/2015,2006
31171,01/11/2006,TX,Nolan County,11/27/2005,05/14/2006,10/14/2015,2006
31172,01/11/2006,TX,Nueces County,11/27/2005,05/14/2006,10/14/2015,2006
31173,01/11/2006,TX,Ochiltree County,11/27/2005,05/14/2006,10/14/2015,2006
31174,01/11/2006,TX,Oldham County,11/27/2005,05/14/2006,10/14/2015,2006
31175,01/11/2006,TX,Orange County,11/27/2005,05/14/2006,10/14/2015,2006
31176,01/11/2006,TX,Palo Pinto County,11/27/2005,05/14/2006,10/14/2015,2006
31177,01/11/2006,TX,Panola County,11/27/2005,05/14/2006,10/14/2015,2006
31178,01/11/2006,TX,Parker County,11/27/2005,05/14/2006,10/14/2015,2006
31179,01/11/2006,TX,Parmer County,11/27/2005,05/14/2006,10/14/2015,2006
31180,01/11/2006,TX,Pecos County,11/27/2005,05/14/2006,10/14/2015,2006
31181,01/11/2006,TX,Polk County,11/27/2005,05/14/2006,10/14/2015,2006
31182,01/11/2006,TX,Potter County,11/27/2005,05/14/2006,10/14/2015,2006
31183,01/11/2006,TX,Presidio County,11/27/2005,05/14/2006,10/14/2015,2006
31184,01/11/2006,TX,Rains County,11/27/2005,05/14/2006,10/14/2015,2006
31185,01/11/2006,TX,Randall County,11/27/2005,05/14/2006,10/14/2015,2006
31186,01/11/2006,TX,Reagan County,11/27/2005,05/14/2006,10/14/2015,2006
31187,01/11/2006,TX,Real County,11/27/2005,05/14/2006,10/14/2015,2006
31188,01/11/2006,TX,Red River County,11/27/2005,05/14/2006,10/14/2015,2006
31189,01/11/2006,TX,Reeves County,11/27/2005,05/14/2006,10/14/2015,2006
31190,01/11/2006,TX,Refugio County,11/27/2005,05/14/2006,10/14/2015,2006
31191,01/11/2006,TX,Roberts County,11/27/2005,05/14/2006,10/14/2015,2006
31192,01/11/2006,TX,Robertson County,11/27/2005,05/14/2006,10/14/2015,2006
31193,01/11/2006,TX,Rockwall County,11/27/2005,05/14/2006,10/14/2015,2006
31194,01/11/2006,TX,Runnels County,11/27/2005,05/14/2006,10/14/2015,2006
31195,01/11/2006,TX,Rusk County,11/27/2005,05/14/2006,10/14/2015,2006
31196,01/11/2006,TX,Sabine County,11/27/2005,05/14/2006,10/14/2015,2006
31197,01/11/2006,TX,San Augustine County,11/27/2005,05/14/2006,10/14/2015,2006
31198,01/11/2006,TX,San Jacinto County,11/27/2005,05/14/2006,10/14/2015,2006
31199,01/11/2006,TX,San Patricio County,11/27/2005,05/14/2006,10/14/2015,2006
31200,01/11/2006,TX,San Saba County,11/27/2005,05/14/2006,10/14/2015,2006
31201,01/11/2006,TX,Schleicher County,11/27/2005,05/14/2006,10/14/2015,2006
31202,01/11/2006,TX,Scurry County,11/27/2005,05/14/2006,10/14/2015,2006
31203,01/11/2006,TX,Shackelford County,11/27/2005,05/14/2006,10/14/2015,2006
31204,01/11/2006,TX,Shelby County,11/27/2005,05/14/2006,10/14/2015,2006
31205,01/11/2006,TX,Sherman County,11/27/2005,05/14/2006,10/14/2015,2006
31206,01/11/2006,TX,Smith County,11/27/2005,05/14/2006,10/14/2015,2006
31207,01/11/2006,TX,Somervell County,11/27/2005,05/14/2006,10/14/2015,2006
31208,01/11/2006,TX,Starr County,11/27/2005,05/14/2006,10/14/2015,2006
31209,01/11/2006,TX,Stephens County,11/27/2005,05/14/2006,10/14/2015,2006
31210,01/11/2006,TX,Sterling County,11/27/2005,05/14/2006,10/14/2015,2006
31211,01/11/2006,TX,Stonewall County,11/27/2005,05/14/2006,10/14/2015,2006
31212,01/11/2006,TX,Sutton County,11/27/2005,05/14/2006,10/14/2015,2006
31213,01/11/2006,TX,Swisher County,11/27/2005,05/14/2006,10/14/2015,2006
31214,01/11/2006,TX,Tarrant County,11/27/2005,05/14/2006,10/14/2015,2006
31215,01/11/2006,TX,Taylor County,11/27/2005,05/14/2006,10/14/2015,2006
31216,01/11/2006,TX,Terrell County,11/27/2005,05/14/2006,10/14/2015,2006
31217,01/11/2006,TX,Terry County,11/27/2005,05/14/2006,10/14/2015,2006
31218,01/11/2006,TX,Throckmorton County,11/27/2005,05/14/2006,10/14/2015,2006
31219,01/11/2006,TX,Titus County,11/27/2005,05/14/2006,10/14/2015,2006
31220,01/11/2006,TX,Tom Green County,11/27/2005,05/14/2006,10/14/2015,2006
31221,01/11/2006,TX,Travis County,11/27/2005,05/14/2006,10/14/2015,2006
31222,01/11/2006,TX,Trinity County,11/27/2005,05/14/2006,10/14/2015,2006
31223,01/11/2006,TX,Tyler County,11/27/2005,05/14/2006,10/14/2015,2006
31224,01/11/2006,TX,Upshur County,11/27/2005,05/14/2006,10/14/2015,2006
31225,01/11/2006,TX,Upton County,11/27/2005,05/14/2006,10/14/2015,2006
31226,01/11/2006,TX,Uvalde County,11/27/2005,05/14/2006,10/14/2015,2006
31227,01/11/2006,TX,Val Verde County,11/27/2005,05/14/2006,10/14/2015,2006
31228,01/11/2006,TX,Van Zandt County,11/27/2005,05/14/2006,10/14/2015,2006
31229,01/11/2006,TX,Victoria County,11/27/2005,05/14/2006,10/14/2015,2006
31230,01/11/2006,TX,Walker County,11/27/2005,05/14/2006,10/14/2015,2006
31231,01/11/2006,TX,Waller County,11/27/2005,05/14/2006,10/14/2015,2006
31232,01/11/2006,TX,Ward County,11/27/2005,05/14/2006,10/14/2015,2006
31233,01/11/2006,TX,Washington County,11/27/2005,05/14/2006,10/14/2015,2006
31234,01/11/2006,TX,Webb County,11/27/2005,05/14/2006,10/14/2015,2006
31235,01/11/2006,TX,Wharton County,11/27/2005,05/14/2006,10/14/2015,2006
31236,01/11/2006,TX,Wheeler County,11/27/2005,05/14/2006,10/14/2015,2006
31237,01/11/2006,TX,Wichita County,11/27/2005,05/14/2006,10/14/2015,2006
31238,01/11/2006,TX,Wilbarger County,11/27/2005,05/14/2006,10/14/2015,2006
31239,01/11/2006,TX,Willacy County,11/27/2005,05/14/2006,10/14/2015,2006
31240,01/11/2006,TX,Williamson County,11/27/2005,05/14/2006,10/14/2015,2006
31241,01/11/2006,TX,Wilson County,11/27/2005,05/14/2006,10/14/2015,2006
31242,01/11/2006,TX,Winkler County,11/27/2005,05/14/2006,10/14/2015,2006
31243,01/11/2006,TX,Wise County,11/27/2005,05/14/2006,10/14/2015,2006
31244,01/11/2006,TX,Wood County,11/27/2005,05/14/2006,10/14/2015,2006
31245,01/11/2006,TX,Yoakum County,11/27/2005,05/14/2006,10/14/2015,2006
31246,01/11/2006,TX,Young County,11/27/2005,05/14/2006,10/14/2015,2006
31247,01/11/2006,TX,Zapata County,11/27/2005,05/14/2006,10/14/2015,2006
31248,01/11/2006,TX,Zavala County,11/27/2005,05/14/2006,10/14/2015,2006
31249,01/11/2006,TX,Hays County,01/11/2006,,06/26/2008,2006
31250,01/13/2006,TX,Caldwell County,01/13/2006,,06/26/2008,2006
31251,01/13/2006,OK,Carter County,01/12/2006,,02/24/2009,2006
31252,01/15/2006,TX,Stephens County,01/14/2006,,06/26/2008,2006
31253,01/19/2006,OK,Noble County,01/15/2006,,02/24/2009,2006
31254,01/19/2006,OK,Payne County,01/15/2006,,02/24/2009,2006
31255,01/19/2006,OK,Caddo County,01/15/2006,,02/24/2009,2006
31256,01/19/2006,OK,Creek County,01/18/2006,,02/24/2009,2006
31257,01/19/2006,OK,Jefferson County,01/18/2006,,02/24/2009,2006
31258,01/19/2006,OK,Garvin County,01/18/2006,,02/24/2009,2006
31259,01/19/2006,OK,Osage County,01/15/2006,,02/24/2009,2006
31260,01/19/2006,OK,Tulsa County,01/15/2006,,02/24/2009,2006
31261,01/19/2006,TX,Bastrop County,01/19/2006,,06/26/2008,2006
31262,01/19/2006,TX,Johnson County,01/17/2006,,06/26/2008,2006
31355,02/05/2006,TX,Ellis County,02/05/2006,,06/26/2008,2006
31356,02/06/2006,CA,Orange County,02/06/2006,02/16/2006,07/08/2010,2006
31357,02/06/2006,CA,Riverside County,02/06/2006,02/16/2006,07/08/2010,2006
