,declaration_date,state,county,start_date,end_date,close_date,year
655,05/29/2000,FL,Levy County,05/29/2000,,09/15/2003,2000
656,05/29/2000,FL,Marion County,05/29/2000,,09/15/2003,2000
657,05/29/2000,FL,Putnam County,05/29/2000,,09/15/2003,2000
658,05/30/2000,NM,San Miguel County,05/29/2000,07/31/2000,07/17/2002,2000
659,06/02/2000,FL,Clay County,06/02/2000,,05/16/2004,2000
660,06/02/2000,FL,Duval County,06/02/2000,,05/16/2004,2000
661,06/02/2000,FL,Nassau County,06/02/2000,,05/16/2004,2000
662,06/05/2000,FL,Baker County,06/05/2000,,09/16/2003,2000
663,06/05/2000,FL,Bradford County,06/05/2000,,09/16/2003,2000
664,06/05/2000,FL,Columbia County,06/05/2000,,09/16/2003,2000
665,06/05/2000,FL,Hamilton County,06/05/2000,,09/16/2003,2000
666,06/05/2000,FL,Suwannee County,06/05/2000,,09/16/2003,2000
667,06/05/2000,FL,Union County,06/05/2000,,09/16/2003,2000
668,06/09/2000,FL,Dixie County,06/09/2000,,09/16/2003,2000
669,06/09/2000,FL,Lafayette County,06/09/2000,,09/16/2003,2000
670,06/09/2000,FL,Madison County,06/09/2000,,09/16/2003,2000
671,06/09/2000,FL,Taylor County,06/09/2000,,09/16/2003,2000
672,06/12/2000,CO,Jefferson County,06/12/2000,06/25/2000,08/16/2006,2000
673,06/12/2000,CO,Park County,06/12/2000,06/25/2000,08/16/2006,2000
674,06/12/2000,CO,Larimer County,06/12/2000,06/24/2000,05/31/2006,2000
675,06/15/2000,NM,Mora County,06/15/2000,06/21/2000,07/18/2002,2000
676,06/30/2000,NV,Washoe County,06/28/2000,06/30/2000,05/29/2001,2000
677,07/22/2000,WA,Okanogan County,07/22/2000,,06/30/2004,2000
678,07/24/2000,MT,Broadwater County,07/24/2000,,06/20/2003,2000
679,07/24/2000,MT,Jefferson County,07/24/2000,,06/20/2003,2000
680,07/24/2000,MT,Lewis and Clark County,07/24/2000,,06/20/2003,2000
681,07/24/2000,MT,Meagher County,07/24/2000,,06/20/2003,2000
682,07/31/2000,WY,Natrona County,07/30/2000,08/03/2000,05/26/2010,2000
683,08/01/2000,NV,Washoe County,08/01/2000,08/05/2000,04/01/2005,2000
684,08/05/2000,MT,Deer Lodge County,08/05/2000,,04/08/2003,2000
685,08/05/2000,MT,Granite County,08/05/2000,,04/08/2003,2000
686,08/05/2000,MT,Mineral County,08/05/2000,,04/08/2003,2000
687,08/05/2000,MT,Missoula County,08/05/2000,,04/08/2003,2000
688,08/05/2000,MT,Powell County,08/05/2000,,04/08/2003,2000
689,08/05/2000,MT,Ravalli County,08/05/2000,,04/08/2003,2000
690,08/05/2000,MT,Silver Bow County,08/05/2000,,04/08/2003,2000
691,08/08/2000,MT,Beaverhead County,08/08/2000,,04/09/2003,2000
692,08/08/2000,MT,Madison County,08/08/2000,,04/09/2003,2000
693,08/13/2000,SD,Fall River County,08/11/2000,08/20/2000,09/09/2004,2000
694,08/14/2000,MT,Flathead County,08/14/2000,,04/10/2003,2000
695,08/14/2000,MT,Lake County,08/14/2000,,04/10/2003,2000
696,08/14/2000,MT,Lincoln County,08/14/2000,,04/10/2003,2000
697,08/14/2000,MT,Sanders County,08/14/2000,,04/10/2003,2000
698,08/16/2000,MT,Gallatin County,08/16/2000,,05/07/2003,2000
699,08/16/2000,MT,Park County,08/16/2000,,05/07/2003,2000
700,08/23/2000,TX,Nacogdoches County,08/23/2000,10/09/2000,05/25/2005,2000
701,08/25/2000,SD,Custer County,08/24/2000,,11/04/2003,2000
702,08/25/2000,WA,Klickitat County,08/23/2000,08/27/2000,06/30/2004,2000
703,08/25/2000,WA,Yakima County,08/23/2000,08/27/2000,06/30/2004,2000
704,08/26/2000,TX,Hill County,08/26/2000,08/29/2000,05/25/2005,2000
705,08/28/2000,MT,Carbon County,08/28/2000,,06/27/2003,2000
706,08/30/2000,MT,Blackfeet Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
707,08/30/2000,MT,Crow Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
708,08/30/2000,MT,Flathead Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
709,08/30/2000,MT,Fort Belknap Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
710,08/30/2000,MT,Northern Cheyenne Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
711,08/30/2000,MT,Rocky Boy's Indian Reservation,07/13/2000,09/25/2000,12/23/2008,2000
712,08/30/2000,MT,Beaverhead County,07/13/2000,09/25/2000,12/23/2008,2000
713,08/30/2000,MT,Big Horn County,07/13/2000,09/25/2000,12/23/2008,2000
714,08/30/2000,MT,Blaine County,07/13/2000,09/25/2000,12/23/2008,2000
715,08/30/2000,MT,Broadwater County,07/13/2000,09/25/2000,12/23/2008,2000
716,08/30/2000,MT,Carbon County,07/13/2000,09/25/2000,12/23/2008,2000
717,08/30/2000,MT,Carter County,07/13/2000,09/25/2000,12/23/2008,2000
718,08/30/2000,MT,Cascade County,07/13/2000,09/25/2000,12/23/2008,2000
719,08/30/2000,MT,Chouteau County,07/13/2000,09/25/2000,12/23/2008,2000
720,08/30/2000,MT,Custer County,07/13/2000,09/25/2000,12/23/2008,2000
721,08/30/2000,MT,Deer Lodge County,07/13/2000,09/25/2000,12/23/2008,2000
722,08/30/2000,MT,Fallon County,07/13/2000,09/25/2000,12/23/2008,2000
723,08/30/2000,MT,Fergus County,07/13/2000,09/25/2000,12/23/2008,2000
724,08/30/2000,MT,Flathead County,07/13/2000,09/25/2000,12/23/2008,2000
725,08/30/2000,MT,Gallatin County,07/13/2000,09/25/2000,12/23/2008,2000
726,08/30/2000,MT,Garfield County,07/13/2000,09/25/2000,12/23/2008,2000
727,08/30/2000,MT,Glacier County,07/13/2000,09/25/2000,12/23/2008,2000
728,08/30/2000,MT,Golden Valley County,07/13/2000,09/25/2000,12/23/2008,2000
729,08/30/2000,MT,Granite County,07/13/2000,09/25/2000,12/23/2008,2000
730,08/30/2000,MT,Hill County,07/13/2000,09/25/2000,12/23/2008,2000
731,08/30/2000,MT,Jefferson County,07/13/2000,09/25/2000,12/23/2008,2000
732,08/30/2000,MT,Judith Basin County,07/13/2000,09/25/2000,12/23/2008,2000
733,08/30/2000,MT,Lake County,07/13/2000,09/25/2000,12/23/2008,2000
734,08/30/2000,MT,Lewis and Clark County,07/13/2000,09/25/2000,12/23/2008,2000
735,08/30/2000,MT,Liberty County,07/13/2000,09/25/2000,12/23/2008,2000
736,08/30/2000,MT,Lincoln County,07/13/2000,09/25/2000,12/23/2008,2000
737,08/30/2000,MT,Madison County,07/13/2000,09/25/2000,12/23/2008,2000
738,08/30/2000,MT,Meagher County,07/13/2000,09/25/2000,12/23/2008,2000
739,08/30/2000,MT,Mineral County,07/13/2000,09/25/2000,12/23/2008,2000
740,08/30/2000,MT,Missoula County,07/13/2000,09/25/2000,12/23/2008,2000
741,08/30/2000,MT,Musselshell County,07/13/2000,09/25/2000,12/23/2008,2000
742,08/30/2000,MT,Park County,07/13/2000,09/25/2000,12/23/2008,2000
743,08/30/2000,MT,Petroleum County,07/13/2000,09/25/2000,12/23/2008,2000
744,08/30/2000,MT,Phillips County,07/13/2000,09/25/2000,12/23/2008,2000
745,08/30/2000,MT,Pondera County,07/13/2000,09/25/2000,12/23/2008,2000
746,08/30/2000,MT,Powder River County,07/13/2000,09/25/2000,12/23/2008,2000
747,08/30/2000,MT,Powell County,07/13/2000,09/25/2000,12/23/2008,2000
748,08/30/2000,MT,Prairie County,07/13/2000,09/25/2000,12/23/2008,2000
749,08/30/2000,MT,Ravalli County,07/13/2000,09/25/2000,12/23/2008,2000
750,08/30/2000,MT,Rosebud County,07/13/2000,09/25/2000,12/23/2008,2000
751,08/30/2000,MT,Sanders County,07/13/2000,09/25/2000,12/23/2008,2000
752,08/30/2000,MT,Silver Bow County,07/13/2000,09/25/2000,12/23/2008,2000
753,08/30/2000,MT,Stillwater County,07/13/2000,09/25/2000,12/23/2008,2000
754,08/30/2000,MT,Sweet Grass County,07/13/2000,09/25/2000,12/23/2008,2000
755,08/30/2000,MT,Teton County,07/13/2000,09/25/2000,12/23/2008,2000
756,08/30/2000,MT,Toole County,07/13/2000,09/25/2000,12/23/2008,2000
757,08/30/2000,MT,Treasure County,07/13/2000,09/25/2000,12/23/2008,2000
758,08/30/2000,MT,Wheatland County,07/13/2000,09/25/2000,12/23/2008,2000
759,08/30/2000,MT,Yellowstone County,07/13/2000,09/25/2000,12/23/2008,2000
760,08/31/2000,TX,Eastland County,08/30/2000,09/13/2000,05/25/2005,2000
761,09/01/2000,ID,Fort Hall Indian Reservation,07/27/2000,09/26/2000,12/11/2003,2000
762,09/01/2000,ID,Ada County,07/27/2000,09/26/2000,12/11/2003,2000
763,09/01/2000,ID,Bannock County,07/27/2000,09/26/2000,12/11/2003,2000
764,09/01/2000,ID,Bingham County,07/27/2000,09/26/2000,12/11/2003,2000
765,09/01/2000,ID,Blaine County,07/27/2000,09/26/2000,12/11/2003,2000
766,09/01/2000,ID,Boise County,07/27/2000,09/26/2000,12/11/2003,2000
767,09/01/2000,ID,Clearwater County,07/27/2000,09/26/2000,12/11/2003,2000
768,09/01/2000,ID,Custer County,07/27/2000,09/26/2000,12/11/2003,2000
769,09/01/2000,ID,Elmore County,07/27/2000,09/26/2000,12/11/2003,2000
770,09/01/2000,ID,Idaho County,07/27/2000,09/26/2000,12/11/2003,2000
771,09/01/2000,ID,Jerome County,07/27/2000,09/26/2000,12/11/2003,2000
772,09/01/2000,ID,Lemhi County,07/27/2000,09/26/2000,12/11/2003,2000
773,09/01/2000,ID,Lewis County,07/27/2000,09/26/2000,12/11/2003,2000
774,09/01/2000,ID,Lincoln County,07/27/2000,09/26/2000,12/11/2003,2000
775,09/01/2000,ID,Power County,07/27/2000,09/26/2000,12/11/2003,2000
776,09/01/2000,ID,Valley County,07/27/2000,09/26/2000,12/11/2003,2000
777,09/03/2000,TX,Newton County,09/03/2000,10/04/2000,05/25/2005,2000
778,09/04/2000,TX,Liberty County,09/04/2000,09/08/2000,05/25/2005,2000
779,09/05/2000,TX,Tyler County,09/04/2000,09/07/2000,05/25/2005,2000
780,09/05/2000,TX,Montgomery County,09/04/2000,09/09/2000,05/25/2005,2000
781,09/05/2000,TX,Kerr County,09/04/2000,09/05/2000,05/25/2005,2000
782,09/07/2000,TX,Lampasas County,09/06/2000,09/08/2000,05/25/2005,2000
783,09/07/2000,TX,Kendall County,09/06/2000,09/07/2000,05/25/2005,2000
784,09/08/2000,TX,McCulloch County,09/08/2000,09/13/2000,05/25/2005,2000
785,09/08/2000,TX,San Saba County,09/08/2000,09/13/2000,05/25/2005,2000
786,09/10/2000,TX,Caldwell County,09/09/2000,09/10/2000,05/25/2005,2000
787,09/11/2000,LA,Allen Parish,09/08/2000,09/22/2000,10/17/2002,2000
788,09/11/2000,LA,Beauregard Parish,09/08/2000,09/22/2000,10/17/2002,2000
789,09/11/2000,LA,Calcasieu Parish,09/08/2000,09/22/2000,10/17/2002,2000
790,09/11/2000,LA,De Soto Parish,09/08/2000,09/22/2000,10/17/2002,2000
791,09/11/2000,LA,Evangeline Parish,09/08/2000,09/22/2000,10/17/2002,2000
792,09/11/2000,LA,Jefferson Davis Parish,09/08/2000,09/22/2000,10/17/2002,2000
793,09/11/2000,LA,Natchitoches Parish,09/08/2000,09/22/2000,10/17/2002,2000
794,09/11/2000,LA,Rapides Parish,09/08/2000,09/22/2000,10/17/2002,2000
795,09/11/2000,LA,Red River Parish,09/08/2000,09/22/2000,10/17/2002,2000
796,09/11/2000,LA,Sabine Parish,09/08/2000,09/22/2000,10/17/2002,2000
797,09/11/2000,LA,Vernon Parish,09/08/2000,09/22/2000,10/17/2002,2000
798,09/16/2000,CO,Boulder County,09/16/2000,09/20/2000,09/20/2006,2000
799,09/17/2000,AL,Jefferson County,09/15/2000,,10/24/2002,2000
800,09/18/2000,TX,Smith County,09/17/2000,09/18/2000,05/25/2005,2000
801,09/19/2000,OK,Murray County,09/18/2000,10/05/2000,12/17/2002,2000
802,09/21/2000,OK,Creek County,09/18/2000,09/25/2000,11/07/2002,2000
803,09/21/2000,OK,Logan County,09/19/2000,10/02/2000,11/08/2002,2000
804,10/03/2000,TX,Parker County,10/02/2000,10/03/2000,05/25/2005,2000
805,10/20/2000,MN,Anoka County,10/19/2000,11/02/2000,05/04/2005,2000
806,10/20/2000,MN,Chisago County,10/19/2000,11/02/2000,05/04/2005,2000
807,10/20/2000,MN,Morrison County,10/19/2000,11/02/2000,05/04/2005,2000
808,10/20/2000,MN,Pine County,10/19/2000,11/02/2000,05/04/2005,2000
809,10/20/2000,MN,Washington County,10/19/2000,11/02/2000,05/04/2005,2000
810,11/02/2000,TN,Anderson County,10/30/2000,,07/26/2002,2000
811,11/02/2000,TN,Sevier County,10/30/2000,,07/26/2002,2000
812,11/03/2000,TN,Fentress County,11/01/2000,,07/29/2002,2000
813,11/03/2000,TN,Pickett County,11/01/2000,,07/29/2002,2000
814,11/03/2000,TN,Grainger County,10/30/2000,,07/29/2002,2000
815,11/03/2000,TN,Hancock County,10/30/2000,,07/29/2002,2000
816,11/03/2000,TN,Hawkins County,10/30/2000,,07/29/2002,2000
817,11/04/2000,KY,Bell County,10/30/2000,,09/29/2003,2000
818,11/04/2000,KY,Clay County,10/30/2000,,09/29/2003,2000
819,11/04/2000,KY,Harlan County,10/30/2000,,09/29/2003,2000
820,11/04/2000,KY,Jackson County,10/30/2000,,09/29/2003,2000
821,11/04/2000,KY,Knox County,10/30/2000,,09/29/2003,2000
822,11/04/2000,KY,Laurel County,10/30/2000,,09/29/2003,2000
823,11/04/2000,KY,Leslie County,10/30/2000,,09/29/2003,2000
824,11/04/2000,KY,McCreary County,10/30/2000,,09/29/2003,2000
825,11/04/2000,KY,Rockcastle County,10/30/2000,,09/29/2003,2000
826,11/04/2000,KY,Whitley County,10/30/2000,,09/29/2003,2000
827,11/04/2000,KY,Floyd County,10/30/2000,,09/29/2003,2000
828,11/04/2000,KY,Johnson County,10/30/2000,,09/29/2003,2000
829,11/04/2000,KY,Lawrence County,10/30/2000,,09/29/2003,2000
830,11/04/2000,KY,Magoffin County,10/30/2000,,09/29/2003,2000
831,11/04/2000,KY,Martin County,10/30/2000,,09/29/2003,2000
832,11/04/2000,KY,Pike County,10/30/2000,,09/29/2003,2000
833,01/05/2001,TX,Johnson County,08/28/2000,09/13/2000,09/07/2010,2001
834,01/05/2001,TX,Hays County,09/04/2000,09/05/2000,09/07/2010,2001
835,02/19/2001,FL,Glades County,02/19/2001,,09/16/2003,2001
836,02/19/2001,FL,Highlands County,02/19/2001,,09/16/2003,2001
837,02/19/2001,FL,Indian River County,02/19/2001,,09/16/2003,2001
838,02/19/2001,FL,Martin County,02/19/2001,,09/16/2003,2001
839,02/19/2001,FL,Okeechobee County,02/19/2001,,09/16/2003,2001
840,02/19/2001,FL,Collier County,02/19/2001,,09/16/2003,2001
841,02/19/2001,FL,Hendry County,02/19/2001,,09/16/2003,2001
842,02/19/2001,FL,Lee County,02/19/2001,,09/16/2003,2001
843,03/18/2001,FL,Hillsborough County,02/17/2001,,09/16/2010,2001
844,03/18/2001,FL,Pinellas County,02/17/2001,,09/16/2010,2001
845,03/18/2001,FL,Polk County,02/17/2001,,09/16/2010,2001
846,04/17/2001,FL,Brevard County,04/16/2001,,09/16/2003,2001
847,04/17/2001,FL,Orange County,04/16/2001,,09/16/2003,2001
848,04/17/2001,FL,Osceola County,04/16/2001,,09/16/2003,2001
849,04/18/2001,FL,Charlotte County,04/17/2001,,05/15/2004,2001
850,04/18/2001,FL,DeSoto County,04/17/2001,,05/15/2004,2001
851,04/18/2001,FL,Hardee County,04/17/2001,,05/15/2004,2001
852,04/18/2001,FL,Manatee County,04/17/2001,,05/15/2004,2001
853,04/18/2001,FL,Sarasota County,04/17/2001,,05/15/2004,2001
854,04/25/2001,FL,Dade County,04/17/2001,,09/16/2003,2001
855,04/25/2001,FL,Monroe County,04/17/2001,,09/16/2003,2001
856,05/15/2001,FL,Walton County,05/14/2001,05/14/2001,09/16/2003,2001
857,05/15/2001,FL,Washington County,05/14/2001,05/14/2001,09/16/2003,2001
858,05/16/2001,FL,Escambia County,05/15/2001,,09/16/2003,2001
859,05/23/2001,FL,Dixie County,05/23/2001,,06/06/2007,2001
860,05/23/2001,FL,Lafayette County,05/23/2001,,06/06/2007,2001
861,05/23/2001,GA,McIntosh County,05/17/2001,,09/30/2003,2001
862,06/03/2001,NM,Lincoln County,06/02/2001,06/03/2001,06/07/2002,2001
863,06/03/2001,NM,Otero County,06/02/2001,06/03/2001,06/07/2002,2001
864,06/30/2001,AK,Tok ANV/ANVSA,06/29/2001,07/03/2001,11/06/2002,2001
865,07/05/2001,NV,Elko County,07/05/2001,07/05/2001,08/20/2004,2001
866,07/26/2001,WY,Teton County,07/26/2001,08/08/2001,03/20/2007,2001
867,07/28/2001,WA,Chelan County,07/28/2001,08/04/2001,06/30/2004,2001
868,08/01/2001,WY,Weston County,07/31/2001,08/08/2001,09/30/2005,2001
869,08/01/2001,SD,Custer County,07/30/2001,,11/04/2003,2001
870,08/09/2001,NV,Washoe County,08/09/2001,,08/20/2004,2001
871,08/14/2001,WA,Chelan County,08/14/2001,08/21/2001,06/30/2004,2001
872,08/14/2001,WA,Okanogan County,08/13/2001,08/29/2001,06/30/2004,2001
873,08/14/2001,WA,Okanogan County,08/13/2001,08/21/2001,06/30/2004,2001
874,08/15/2001,OR,Umatilla County,08/15/2001,08/19/2001,02/18/2004,2001
875,08/16/2001,WA,Yakima County,08/15/2001,08/23/2001,06/30/2004,2001
876,08/16/2001,WA,Okanogan County,08/14/2001,08/29/2001,06/30/2004,2001
877,08/17/2001,OR,,08/17/2001,08/22/2001,02/19/2004,2001
878,08/17/2001,WA,Chelan County,08/13/2001,08/31/2001,06/30/2004,2001
879,08/17/2001,WA,Ferry County,08/16/2001,08/25/2001,06/30/2004,2001
880,08/19/2001,UT,Utah County,08/18/2001,,06/17/2003,2001
881,09/06/2001,WY,Crook County,09/05/2001,09/08/2001,09/30/2005,2001
882,09/11/2001,NY,Albany County,09/11/2001,09/11/2001,,2001
883,09/11/2001,NY,Allegany County,09/11/2001,09/11/2001,,2001
884,09/11/2001,NY,Bronx County,09/11/2001,09/11/2001,,2001
885,09/11/2001,NY,Broome County,09/11/2001,09/11/2001,,2001
886,09/11/2001,NY,Cattaraugus County,09/11/2001,09/11/2001,,2001
887,09/11/2001,NY,Cayuga County,09/11/2001,09/11/2001,,2001
888,09/11/2001,NY,Chautauqua County,09/11/2001,09/11/2001,,2001
889,09/11/2001,NY,Chemung County,09/11/2001,09/11/2001,,2001
890,09/11/2001,NY,Chenango County,09/11/2001,09/11/2001,,2001
891,09/11/2001,NY,Clinton County,09/11/2001,09/11/2001,,2001
892,09/11/2001,NY,Columbia County,09/11/2001,09/11/2001,,2001
893,09/11/2001,NY,Cortland County,09/11/2001,09/11/2001,,2001
894,09/11/2001,NY,Delaware County,09/11/2001,09/11/2001,,2001
895,09/11/2001,NY,Dutchess County,09/11/2001,09/11/2001,,2001
896,09/11/2001,NY,Erie County,09/11/2001,09/11/2001,,2001
897,09/11/2001,NY,Essex County,09/11/2001,09/11/2001,,2001
898,09/11/2001,NY,Franklin County,09/11/2001,09/11/2001,,2001
899,09/11/2001,NY,Fulton County,09/11/2001,09/11/2001,,2001
900,09/11/2001,NY,Genesee County,09/11/2001,09/11/2001,,2001
901,09/11/2001,NY,Greene County,09/11/2001,09/11/2001,,2001
902,09/11/2001,NY,Hamilton County,09/11/2001,09/11/2001,,2001
903,09/11/2001,NY,Herkimer County,09/11/2001,09/11/2001,,2001
904,09/11/2001,NY,Jefferson County,09/11/2001,09/11/2001,,2001
905,09/11/2001,NY,Kings County,09/11/2001,09/11/2001,,2001
906,09/11/2001,NY,Lewis County,09/11/2001,09/11/2001,,2001
907,09/11/2001,NY,Livingston County,09/11/2001,09/11/2001,,2001
908,09/11/2001,NY,Madison County,09/11/2001,09/11/2001,,2001
909,09/11/2001,NY,Monroe County,09/11/2001,09/11/2001,,2001
910,09/11/2001,NY,Montgomery County,09/11/2001,09/11/2001,,2001
911,09/11/2001,NY,Nassau County,09/11/2001,09/11/2001,,2001
912,09/11/2001,NY,New York County,09/11/2001,09/11/2001,,2001
913,09/11/2001,NY,Niagara County,09/11/2001,09/11/2001,,2001
914,09/11/2001,NY,Oneida County,09/11/2001,09/11/2001,,2001
915,09/11/2001,NY,Onondaga County,09/11/2001,09/11/2001,,2001
916,09/11/2001,NY,Ontario County,09/11/2001,09/11/2001,,2001
917,09/11/2001,NY,Orange County,09/11/2001,09/11/2001,,2001
918,09/11/2001,NY,Orleans County,09/11/2001,09/11/2001,,2001
919,09/11/2001,NY,Oswego County,09/11/2001,09/11/2001,,2001
920,09/11/2001,NY,Otsego County,09/11/2001,09/11/2001,,2001
921,09/11/2001,NY,Putnam County,09/11/2001,09/11/2001,,2001
922,09/11/2001,NY,Queens County,09/11/2001,09/11/2001,,2001
923,09/11/2001,NY,Rensselaer County,09/11/2001,09/11/2001,,2001
924,09/11/2001,NY,Richmond County,09/11/2001,09/11/2001,,2001
925,09/11/2001,NY,Rockland County,09/11/2001,09/11/2001,,2001
926,09/11/2001,NY,St. Lawrence County,09/11/2001,09/11/2001,,2001
927,09/11/2001,NY,Saratoga County,09/11/2001,09/11/2001,,2001
928,09/11/2001,NY,Schenectady County,09/11/2001,09/11/2001,,2001
929,09/11/2001,NY,Schoharie County,09/11/2001,09/11/2001,,2001
930,09/11/2001,NY,Schuyler County,09/11/2001,09/11/2001,,2001
931,09/11/2001,NY,Seneca County,09/11/2001,09/11/2001,,2001
932,09/11/2001,NY,Steuben County,09/11/2001,09/11/2001,,2001
933,09/11/2001,NY,Suffolk County,09/11/2001,09/11/2001,,2001
934,09/11/2001,NY,Sullivan County,09/11/2001,09/11/2001,,2001
935,09/11/2001,NY,Tioga County,09/11/2001,09/11/2001,,2001
936,09/11/2001,NY,Tompkins County,09/11/2001,09/11/2001,,2001
937,09/11/2001,NY,Ulster County,09/11/2001,09/11/2001,,2001
938,09/11/2001,NY,Warren County,09/11/2001,09/11/2001,,2001
939,09/11/2001,NY,Washington County,09/11/2001,09/11/2001,,2001
940,09/11/2001,NY,Wayne County,09/11/2001,09/11/2001,,2001
941,09/11/2001,NY,Westchester County,09/11/2001,09/11/2001,,2001
942,09/11/2001,NY,Wyoming County,09/11/2001,09/11/2001,,2001
943,09/11/2001,NY,Yates County,09/11/2001,09/11/2001,,2001
944,09/12/2001,VA,Arlington County,09/11/2001,09/11/2001,05/26/2010,2001
945,09/19/2001,NJ,Atlantic County,09/11/2001,09/11/2001,02/27/2012,2001
946,09/19/2001,NJ,Bergen County,09/11/2001,09/11/2001,02/27/2012,2001
947,09/19/2001,NJ,Burlington County,09/11/2001,09/11/2001,02/27/2012,2001
948,09/19/2001,NJ,Camden County,09/11/2001,09/11/2001,02/27/2012,2001
949,09/19/2001,NJ,Cape May County,09/11/2001,09/11/2001,02/27/2012,2001
950,09/19/2001,NJ,Cumberland County,09/11/2001,09/11/2001,02/27/2012,2001
951,09/19/2001,NJ,Essex County,09/11/2001,09/11/2001,02/27/2012,2001
952,09/19/2001,NJ,Gloucester County,09/11/2001,09/11/2001,02/27/2012,2001
953,09/19/2001,NJ,Hudson County,09/11/2001,09/11/2001,02/27/2012,2001
954,09/19/2001,NJ,Hunterdon County,09/11/2001,09/11/2001,02/27/2012,2001
955,09/19/2001,NJ,Mercer County,09/11/2001,09/11/2001,02/27/2012,2001
956,09/19/2001,NJ,Middlesex County,09/11/2001,09/11/2001,02/27/2012,2001
957,09/19/2001,NJ,Monmouth County,09/11/2001,09/11/2001,02/27/2012,2001
958,09/19/2001,NJ,Morris County,09/11/2001,09/11/2001,02/27/2012,2001
959,09/19/2001,NJ,Ocean County,09/11/2001,09/11/2001,02/27/2012,2001
960,09/19/2001,NJ,Passaic County,09/11/2001,09/11/2001,02/27/2012,2001
961,09/19/2001,NJ,Salem County,09/11/2001,09/11/2001,02/27/2012,2001
962,09/19/2001,NJ,Somerset County,09/11/2001,09/11/2001,02/27/2012,2001
963,09/19/2001,NJ,Sussex County,09/11/2001,09/11/2001,02/27/2012,2001
964,09/19/2001,NJ,Union County,09/11/2001,09/11/2001,02/27/2012,2001
965,09/19/2001,NJ,Warren County,09/11/2001,09/11/2001,02/27/2012,2001
966,11/01/2001,CO,Larimer County,10/31/2001,11/03/2001,06/06/2003,2001
967,11/02/2001,KY,Floyd County,11/02/2001,11/21/2001,09/30/2003,2001
968,11/02/2001,KY,Johnson County,11/02/2001,11/21/2001,09/30/2003,2001
969,11/02/2001,KY,Lawrence County,11/02/2001,11/21/2001,09/30/2003,2001
970,11/02/2001,KY,Magoffin County,11/02/2001,11/21/2001,09/30/2003,2001
971,11/02/2001,KY,Martin County,11/02/2001,11/21/2001,09/30/2003,2001
972,11/02/2001,KY,Pike County,11/02/2001,11/21/2001,09/30/2003,2001
973,11/02/2001,KY,Breathitt County,11/02/2001,,09/30/2003,2001
974,11/02/2001,KY,Bell County,11/02/2001,,09/30/2003,2001
975,11/02/2001,KY,Clay County,11/02/2001,,09/30/2003,2001
976,11/02/2001,KY,Harlan County,11/02/2001,,09/30/2003,2001
977,11/02/2001,KY,Jackson County,11/02/2001,,09/30/2003,2001
978,11/02/2001,KY,Knox County,11/02/2001,,09/30/2003,2001
979,11/02/2001,KY,Laurel County,11/02/2001,,09/30/2003,2001
980,11/02/2001,KY,Leslie County,11/02/2001,,09/30/2003,2001
981,11/02/2001,KY,McCreary County,11/02/2001,,09/30/2003,2001
982,11/02/2001,KY,Rockcastle County,11/02/2001,,09/30/2003,2001
983,11/02/2001,KY,Whitley County,11/02/2001,,09/30/2003,2001
984,11/03/2001,TN,Bledsoe County,11/03/2001,,03/22/2004,2001
985,11/03/2001,TN,Grundy County,11/03/2001,,03/22/2004,2001
986,11/03/2001,TN,Marion County,11/03/2001,,03/22/2004,2001
987,11/03/2001,TN,Polk County,11/03/2001,,03/22/2004,2001
988,11/03/2001,TN,Rhea County,11/03/2001,,03/22/2004,2001
989,11/03/2001,TN,Sequatchie County,11/03/2001,,03/22/2004,2001
990,11/09/2001,SC,Horry County,11/07/2001,11/26/2001,05/22/2003,2001
991,11/14/2001,TN,Sevier County,11/12/2001,,03/22/2004,2001
992,11/16/2001,WV,Boone County,11/16/2001,11/30/2001,09/15/2003,2001
993,11/16/2001,WV,Cabell County,11/16/2001,11/30/2001,09/15/2003,2001
994,11/16/2001,WV,Clay County,11/16/2001,11/30/2001,09/15/2003,2001
995,11/16/2001,WV,Kanawha County,11/16/2001,11/30/2001,09/15/2003,2001
996,11/16/2001,WV,Lincoln County,11/16/2001,11/30/2001,09/15/2003,2001
997,11/16/2001,WV,Logan County,11/16/2001,11/30/2001,09/15/2003,2001
998,11/16/2001,WV,McDowell County,11/16/2001,11/30/2001,09/15/2003,2001
999,11/16/2001,WV,Mercer County,11/16/2001,11/30/2001,09/15/2003,2001
1000,11/16/2001,WV,Mingo County,11/16/2001,11/30/2001,09/15/2003,2001
1001,11/16/2001,WV,Raleigh County,11/16/2001,11/30/2001,09/15/2003,2001
1002,11/16/2001,WV,Wayne County,11/16/2001,11/30/2001,09/15/2003,2001
1003,11/16/2001,WV,Wyoming County,11/16/2001,11/30/2001,09/15/2003,2001
1004,11/16/2001,WV,Grant County,11/16/2001,11/30/2001,01/07/2003,2001
1005,11/16/2001,WV,Hardy County,11/16/2001,11/30/2001,01/07/2003,2001
1006,11/16/2001,VA,Buchanan County,11/14/2001,12/09/2001,02/20/2003,2001
1007,11/16/2001,VA,Dickenson County,11/14/2001,12/09/2001,02/20/2003,2001
